股票代码: 600145{'流通市值': '27.88亿', '总市值': '27.88亿', '流通股本': '14.91亿', '总股本': '14.91亿'}
股票代码: 600146{'流通市值': '52.87亿', '总市值': '52.87亿', '流通股本': '4.70亿', '总股本': '4.70亿'}
股票代码: 600148{'流通市值': '16.71亿', '总市值': '16.71亿', '流通股本': '1.42亿', '总股本': '1.42亿'}
股票代码: 600149{'流通市值': '18.32亿', '总市值': '18.32亿', '流通股本': '3.80亿', '总股本': '3.80亿'}
股票代码: 600150{'流通市值': '267.22亿', '总市值': '267.22亿', '流通股本': '13.78亿', '总股本': '13.78亿'}
股票代码: 600151{'流通市值': '60.81亿', '总市值': '60.81亿', '流通股本': '14.34亿', '总股本': '14.34亿'}
股票代码: 600152{'流通市值': '22.25亿', '总市值': '31.19亿', '流通股本': '3.00亿', '总股本': '4.21亿'}
股票代码: 600153{'流通市值': '230.79亿', '总市值': '230.79亿', '流通股本': '28.35亿', '总股本': '28.35亿'}
股票代码: 600155{'流通市值': '217.10亿', '总市值': '217.10亿', '流通股本': '17.40亿', '总股本': '17.40亿'}
股票代码: 600156{'流通市值': '17.77亿', '总市值': '17.77亿', '流通股本': '4.02亿', '总股本': '4.02亿'}
股票代码: 600157{'流通市值': '171.48亿', '总市值': '171.48亿', '流通股本': '124.26亿', '总股本': '124.26亿'}
股票代码: 600158{'流通市值': '64.50亿', '总市值': '82.77亿', '流通股本': '6.57亿', '总股本': '8.44亿'}
股票代码: 600159{'流通市值': '18.92亿', '总市值': '18.92亿', '流通股本': '8.30亿', '总股本': '8.30亿'}
股票代码: 600160{'流通市值': '182.28亿', '总市值': '182.28亿', '流通股本': '27.45亿', '总股本': '27.45亿'}
股票代码: 600161{'流通市值': '376.85亿', '总市值': '376.85亿', '流通股本': '10.45亿', '总股本': '10.45亿'}
股票代码: 600162{'流通市值': '60.52亿', '总市值': '68.93亿', '流通股本': '29.81亿', '总股本': '33.96亿'}
股票代码: 600163{'流通市值': '32.78亿', '总市值': '32.78亿', '流通股本': '9.99亿', '总股本': '9.99亿'}
股票代码: 600165{'流通市值': '27.26亿', '总市值': '27.26亿', '流通股本': '6.85亿', '总股本': '6.85亿'}
股票代码: 600166{'流通市值': '124.93亿', '总市值': '124.93亿', '流通股本': '65.75亿', '总股本': '65.75亿'}
股票代码: 600167{'流通市值': '275.03亿', '总市值': '275.03亿', '流通股本': '22.88亿', '总股本': '22.88亿'}
股票代码: 600168{'流通市值': '52.79亿', '总市值': '52.79亿', '流通股本': '7.10亿', '总股本': '7.10亿'}
股票代码: 600169{'流通市值': '49.48亿', '总市值': '49.48亿', '流通股本': '25.64亿', '总股本': '25.64亿'}
股票代码: 600170{'流通市值': '265.64亿', '总市值': '278.71亿', '流通股本': '84.87亿', '总股本': '89.04亿'}
股票代码: 600171{'流通市值': '131.26亿', '总市值': '137.11亿', '流通股本': '6.74亿', '总股本': '7.04亿'}
股票代码: 600172{'流通市值': '30.62亿', '总市值': '37.21亿', '流通股本': '11.87亿', '总股本': '14.42亿'}
股票代码: 600173{'流通市值': '33.38亿', '总市值': '33.44亿', '流通股本': '7.00亿', '总股本': '7.01亿'}
股票代码: 600175{'流通市值': '51.86亿', '总市值': '51.86亿', '流通股本': '35.76亿', '总股本': '35.76亿'}
股票代码: 600176{'流通市值': '353.03亿', '总市值': '353.03亿', '流通股本': '35.02亿', '总股本': '35.02亿'}
股票代码: 600177{'流通市值': '340.95亿', '总市值': '340.95亿', '流通股本': '50.14亿', '总股本': '50.14亿'}
股票代码: 600178{'流通市值': '19.96亿', '总市值': '19.96亿', '流通股本': '4.62亿', '总股本': '4.62亿'}
股票代码: 600179{'流通市值': '26.74亿', '总市值': '59.03亿', '流通股本': '6.74亿', '总股本': '14.87亿'}
股票代码: 600180{'流通市值': '66.58亿', '总市值': '66.58亿', '流通股本': '10.16亿', '总股本': '10.16亿'}
股票代码: 600181{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600182{'流通市值': '25.53亿', '总市值': '51.07亿', '流通股本': '1.70亿', '总股本': '3.40亿'}
股票代码: 600183{'流通市值': '541.96亿', '总市值': '541.96亿', '流通股本': '22.76亿', '总股本': '22.76亿'}
股票代码: 600184{'流通市值': '51.44亿', '总市值': '51.44亿', '流通股本': '5.09亿', '总股本': '5.09亿'}
股票代码: 600185{'流通市值': '88.21亿', '总市值': '88.21亿', '流通股本': '20.61亿', '总股本': '20.61亿'}
股票代码: 600186{'流通市值': '36.84亿', '总市值': '36.84亿', '流通股本': '13.80亿', '总股本': '13.80亿'}
股票代码: 600187{'流通市值': '33.62亿', '总市值': '38.21亿', '流通股本': '14.56亿', '总股本': '16.54亿'}
股票代码: 600188{'流通市值': '275.27亿', '总市值': '456.82亿', '流通股本': '29.60亿', '总股本': '49.12亿'}
股票代码: 600189{'流通市值': '15.74亿', '总市值': '23.66亿', '流通股本': '4.77亿', '总股本': '7.17亿'}
股票代码: 600190{'流通市值': '48.76亿', '总市值': '54.86亿', '流通股本': '17.79亿', '总股本': '20.02亿'}
股票代码: 600191{'流通市值': '22.84亿', '总市值': '22.84亿', '流通股本': '4.85亿', '总股本': '4.85亿'}
股票代码: 600192{'流通市值': '20.94亿', '总市值': '20.94亿', '流通股本': '4.42亿', '总股本': '4.42亿'}
